user_id,product_id,purchase_date,quantity
1214,230,2022-09-27,4
1186,406,2023-06-12,5
620,455,2022-03-31,1
762,918,2024-06-07,5
15,266,2024-01-22,4
467,930,2022-11-27,1
597,125,2022-06-07,2
1199,341,2020-11-28,2
478,915,2020-05-23,2
306,476,2021-05-12,4
373,986,2020-07-21,1
671,868,2023-09-23,2
790,1161,2021-02-07,1
295,807,2023-12-21,4
1152,487,2019-12-25,4
891,814,2021-05-02,2
329,365,2021-06-24,5
1072,1094,2019-08-30,1
604,608,2021-01-01,1
1054,305,2020-06-01,5
924,41,2019-10-28,3
553,342,2023-08-06,3
1101,61,2020-01-09,4
207,278,2021-03-23,4
911,271,2021-11-20,4
357,1205,2020-07-12,2
549,442,2019-12-10,2
554,1162,2020-12-14,3
36,843,2022-07-28,5
211,154,2023-09-02,2
311,24,2023-08-20,4
441,715,2022-10-30,4
8,203,2020-10-12,2
403,32,2023-01-25,5
430,35,2020-09-22,4
297,1029,2020-06-21,5
816,819,2021-07-10,5
732,1214,2023-08-29,3
146,323,2021-05-04,4
720,68,2022-10-09,1
446,534,2020-04-29,3
331,1218,2020-09-14,4
75,159,2020-05-10,1
541,813,2020-02-12,2
281,487,2021-01-11,2
1089,297,2022-08-21,2
77,253,2019-08-22,5
334,1130,2022-03-01,3
621,963,2023-06-13,5
397,843,2023-08-28,5
105,402,2019-12-07,1
410,375,2021-02-11,2
439,603,2020-07-24,4
135,1195,2022-04-28,5
464,879,2021-02-23,4
863,1183,2021-09-10,1
109,662,2022-12-19,5
957,1038,2020-04-07,4
350,1015,2022-10-24,5
228,280,2024-02-23,5
1042,156,2023-05-18,2
515,936,2023-01-19,2
1013,185,2022-04-02,5
1170,1035,2024-01-07,5
1122,314,2020-01-21,5
780,235,2023-03-11,5
551,724,2021-11-29,1
660,60,2019-08-26,5
737,349,2021-03-27,3
1149,579,2021-01-21,4
884,58,2023-06-01,1
395,685,2021-12-25,1
337,674,2022-11-23,1
884,216,2021-12-05,1
